RT_ID,Or_ID,Reason,Return_Refund,Dates
RR_301000073,OR_31006523,"Defective Product",Rejected,2024-10-24
RR_301000074,OR_31003255,"Defective Product",Approved,2023-06-07
RR_301000075,OR_31008387,"Late Delivery",Rejected,2024-10-07
RR_301000076,OR_31005905,"Wrong Item Shipped",Rejected,2023-03-23
RR_301000077,OR_31007509,"Defective Product",Approved,2023-12-27
RR_301000078,OR_31005671,"Late Delivery",Rejected,2023-10-26
RR_301000079,OR_31004258,"Late Delivery",Approved,2023-12-31
RR_301000080,OR_31009746,"Defective Product",Rejected,2023-02-02
RR_301000081,OR_31007924,"Wrong Item Shipped",Rejected,2024-02-15
RR_301000082,OR_31004936,"Late Delivery",Approved,2024-09-17
RR_301000083,OR_31006503,"Wrong Item Shipped",Rejected,2023-02-13
RR_301000084,OR_31007802,"Late Delivery",Rejected,2023-12-13
RR_301000085,OR_31005389,"Late Delivery",Approved,2024-05-11
RR_301000086,OR_31005482,"Wrong Item Shipped",Approved,2024-03-31
RR_301000087,OR_31002164,"Late Delivery",Approved,2023-09-23
RR_301000088,OR_31002955,"Defective Product",Rejected,2023-11-17
RR_301000089,OR_31000841,"Defective Product",Rejected,2023-11-09
RR_301000090,OR_31008586,"Defective Product",Rejected,2024-01-31
RR_301000091,OR_31001951,"Wrong Item Shipped",Approved,2023-02-28
RR_301000092,OR_31001827,"Wrong Item Shipped",Rejected,2023-05-01
RR_301000093,OR_31009179,"Defective Product",Approved,2024-01-13
RR_301000094,OR_31007778,"Late Delivery",Rejected,2023-07-14
RR_301000095,OR_31002085,"Wrong Item Shipped",Approved,2023-07-31
RR_301000096,OR_31000853,"Late Delivery",Rejected,2023-03-05
RR_301000097,OR_31000258,"Late Delivery",Approved,2023-12-26
RR_301000098,OR_31005797,"Wrong Item Shipped",Approved,2023-06-15
RR_301000099,OR_31006843,"Defective Product",Rejected,2024-11-16
RR_301000100,OR_31009830,"Late Delivery",Rejected,2024-03-12
RR_301000101,OR_31003801,"Defective Product",Rejected,2024-09-01
RR_301000102,OR_31004365,"Late Delivery",Rejected,2024-08-03
RR_301000103,OR_31004455,"Wrong Item Shipped",Approved,2023-12-24
RR_301000104,OR_31008074,"Defective Product",Approved,2024-04-27
RR_301000105,OR_31003992,"Late Delivery",Rejected,2024-03-27
RR_301000106,OR_31006455,"Wrong Item Shipped",Approved,2023-10-09
RR_301000107,OR_31007714,"Defective Product",Rejected,2024-01-24
RR_301000108,OR_31005057,"Defective Product",Approved,2023-01-03
RR_301000109,OR_31009140,"Defective Product",Rejected,2024-12-15
RR_301000110,OR_31006254,"Wrong Item Shipped",Approved,2024-08-26
RR_301000111,OR_31000677,"Wrong Item Shipped",Approved,2024-10-29
RR_301000112,OR_31003672,"Late Delivery",Rejected,2023-11-29
RR_301000113,OR_31003876,"Defective Product",Approved,2023-07-27
RR_301000114,OR_31009561,"Wrong Item Shipped",Rejected,2023-12-13
RR_301000115,OR_31006371,"Late Delivery",Approved,2024-11-24
RR_301000116,OR_31001102,"Wrong Item Shipped",Rejected,2024-07-30
RR_301000117,OR_31002442,"Wrong Item Shipped",Approved,2023-02-17
RR_301000118,OR_31005711,"Wrong Item Shipped",Rejected,2023-02-13
RR_301000119,OR_31008881,"Late Delivery",Rejected,2023-10-27
RR_301000120,OR_31009120,"Defective Product",Rejected,2023-07-07
RR_301000121,OR_31005493,"Defective Product",Rejected,2024-08-26
RR_301000122,OR_31008705,"Wrong Item Shipped",Rejected,2024-02-09
RR_301000123,OR_31000847,"Late Delivery",Approved,2024-11-11
RR_301000124,OR_31009560,"Defective Product",Rejected,2024-07-03
RR_301000125,OR_31005833,"Defective Product",Approved,2024-06-07
RR_301000126,OR_31008655,"Defective Product",Rejected,2023-06-10
RR_301000127,OR_31007368,"Defective Product",Rejected,2024-12-05
RR_301000128,OR_31005187,"Wrong Item Shipped",Approved,2023-03-22
RR_301000129,OR_31004090,"Wrong Item Shipped",Approved,2024-08-02
RR_301000130,OR_31006663,"Defective Product",Approved,2024-05-20
RR_301000131,OR_31005271,"Wrong Item Shipped",Rejected,2024-11-08
RR_301000132,OR_31004891,"Wrong Item Shipped",Rejected,2024-08-26
RR_301000133,OR_31009397,"Wrong Item Shipped",Rejected,2024-04-24
RR_301000134,OR_31006805,"Defective Product",Rejected,2024-01-29
RR_301000135,OR_31008522,"Wrong Item Shipped",Rejected,2023-12-23
RR_301000136,OR_31006274,"Wrong Item Shipped",Approved,2024-01-22
RR_301000137,OR_31005539,"Late Delivery",Approved,2023-01-01
RR_301000138,OR_31001860,"Wrong Item Shipped",Approved,2023-08-10
RR_301000139,OR_31002083,"Defective Product",Approved,2023-11-18
RR_301000140,OR_31008998,"Wrong Item Shipped",Rejected,2024-01-28
RR_301000141,OR_31007332,"Late Delivery",Rejected,2024-06-02
RR_301000142,OR_31000196,"Wrong Item Shipped",Rejected,2023-03-09
RR_301000143,OR_31001467,"Defective Product",Approved,2024-11-05
RR_301000144,OR_31002574,"Wrong Item Shipped",Rejected,2023-07-16
RR_301000145,OR_31001741,"Wrong Item Shipped",Rejected,2024-01-03
RR_301000146,OR_31006638,"Late Delivery",Rejected,2023-05-02
RR_301000147,OR_31004644,"Late Delivery",Rejected,2023-10-16
RR_301000148,OR_31002117,"Late Delivery",Approved,2024-04-30
RR_301000149,OR_31007414,"Wrong Item Shipped",Rejected,2024-11-23
RR_301000150,OR_31001090,"Wrong Item Shipped",Rejected,2023-03-21
RR_301000151,OR_31004202,"Late Delivery",Rejected,2024-02-06
RR_301000152,OR_31008564,"Defective Product",Approved,2024-07-25
RR_301000153,OR_31003792,"Defective Product",Rejected,2024-08-12
RR_301000154,OR_31001242,"Defective Product",Approved,2023-12-03
RR_301000155,OR_31005319,"Wrong Item Shipped",Approved,2023-12-22
RR_301000156,OR_31006613,"Defective Product",Approved,2023-05-27
RR_301000157,OR_31009963,"Defective Product",Rejected,2024-12-04
RR_301000158,OR_31001294,"Wrong Item Shipped",Rejected,2024-01-26
RR_301000159,OR_31001824,"Late Delivery",Rejected,2024-02-07
RR_301000160,OR_31000806,"Late Delivery",Approved,2024-02-14
RR_301000161,OR_31003560,"Defective Product",Rejected,2024-04-03
RR_301000162,OR_31004016,"Wrong Item Shipped",Approved,2024-08-18
RR_301000163,OR_31001746,"Defective Product",Approved,2024-09-28
RR_301000164,OR_31009408,"Defective Product",Rejected,2023-10-01
RR_301000165,OR_31005016,"Late Delivery",Rejected,2024-12-23
RR_301000166,OR_31005516,"Late Delivery",Rejected,2024-08-19
RR_301000167,OR_31004315,"Wrong Item Shipped",Rejected,2024-02-26
RR_301000168,OR_31000054,"Wrong Item Shipped",Rejected,2023-09-17
RR_301000169,OR_31008117,"Defective Product",Approved,2024-04-29
RR_301000170,OR_31003511,"Wrong Item Shipped",Approved,2023-11-26
RR_301000171,OR_31008531,"Wrong Item Shipped",Approved,2024-07-12
RR_301000172,OR_31002571,"Defective Product",Approved,2023-12-14
RR_301000173,OR_31007265,"Late Delivery",Rejected,2023-07-25
RR_301000174,OR_31001571,"Wrong Item Shipped",Rejected,2024-06-16
RR_301000175,OR_31001177,"Wrong Item Shipped",Approved,2024-08-17
RR_301000176,OR_31003124,"Wrong Item Shipped",Approved,2023-02-15
RR_301000177,OR_31001168,"Defective Product",Rejected,2023-10-25
RR_301000178,OR_31009387,"Defective Product",Rejected,2024-03-19
RR_301000179,OR_31005908,"Defective Product",Approved,2023-12-18
RR_301000180,OR_31004199,"Defective Product",Approved,2023-02-18
RR_301000181,OR_31006452,"Late Delivery",Approved,2024-05-30
RR_301000182,OR_31007478,"Late Delivery",Rejected,2023-11-18
RR_301000183,OR_31009357,"Late Delivery",Approved,2023-12-28
RR_301000184,OR_31000411,"Late Delivery",Rejected,2024-11-20
RR_301000185,OR_31000590,"Defective Product",Approved,2023-09-23
RR_301000186,OR_31002891,"Defective Product",Rejected,2024-06-23
RR_301000187,OR_31002032,"Defective Product",Rejected,2024-12-23
RR_301000188,OR_31001610,"Wrong Item Shipped",Approved,2024-07-10
RR_301000189,OR_31005917,"Wrong Item Shipped",Rejected,2023-09-14
RR_301000190,OR_31002855,"Wrong Item Shipped",Rejected,2023-05-13
RR_301000191,OR_31005589,"Late Delivery",Rejected,2023-07-23
RR_301000192,OR_31003347,"Wrong Item Shipped",Approved,2023-09-07
RR_301000193,OR_31009163,"Late Delivery",Approved,2023-09-25
RR_301000194,OR_31009815,"Wrong Item Shipped",Rejected,2024-09-08
RR_301000195,OR_31004216,"Defective Product",Approved,2024-04-09
RR_301000196,OR_31001579,"Wrong Item Shipped",Rejected,2023-02-11
RR_301000197,OR_31000453,"Late Delivery",Approved,2024-12-09
RR_301000198,OR_31008296,"Defective Product",Rejected,2024-10-26
RR_301000199,OR_31003109,"Defective Product",Approved,2024-07-09
RR_301000200,OR_31005070,"Wrong Item Shipped",Rejected,2023-02-03
RR_301000201,OR_31008576,"Wrong Item Shipped",Rejected,2024-10-26
RR_301000202,OR_31007551,"Late Delivery",Rejected,2023-07-07
RR_301000203,OR_31008750,"Defective Product",Rejected,2023-04-09
RR_301000204,OR_31009061,"Defective Product",Rejected,2023-09-27
RR_301000205,OR_31007213,"Wrong Item Shipped",Approved,2023-11-01
RR_301000206,OR_31004503,"Late Delivery",Approved,2024-11-08
RR_301000207,OR_31009284,"Late Delivery",Rejected,2024-03-15
RR_301000208,OR_31009162,"Defective Product",Approved,2023-07-23
RR_301000209,OR_31009105,"Defective Product",Rejected,2023-02-27
RR_301000210,OR_31009308,"Wrong Item Shipped",Approved,2024-12-05
RR_301000211,OR_31007569,"Wrong Item Shipped",Rejected,2023-01-30
RR_301000212,OR_31008305,"Defective Product",Rejected,2023-08-23
RR_301000213,OR_31008233,"Wrong Item Shipped",Approved,2023-01-26
RR_301000214,OR_31001180,"Wrong Item Shipped",Rejected,2024-12-21
RR_301000215,OR_31002887,"Late Delivery",Rejected,2023-03-10
RR_301000216,OR_31008687,"Defective Product",Approved,2023-01-06
RR_301000217,OR_31003619,"Defective Product",Rejected,2023-02-06
RR_301000218,OR_31005279,"Defective Product",Approved,2024-10-27
RR_301000219,OR_31005715,"Late Delivery",Rejected,2024-12-23
RR_301000220,OR_31003829,"Wrong Item Shipped",Approved,2024-04-01
RR_301000221,OR_31003758,"Defective Product",Approved,2024-10-15
RR_301000222,OR_31004121,"Wrong Item Shipped",Rejected,2024-05-17
RR_301000223,OR_31007886,"Late Delivery",Rejected,2023-08-06
RR_301000224,OR_31004514,"Defective Product",Approved,2023-06-21
RR_301000225,OR_31000092,"Late Delivery",Approved,2024-09-07
RR_301000226,OR_31000088,"Defective Product",Rejected,2024-04-20
RR_301000227,OR_31001412,"Wrong Item Shipped",Rejected,2024-06-22
RR_301000228,OR_31002792,"Late Delivery",Approved,2023-09-27
RR_301000229,OR_31004835,"Late Delivery",Rejected,2024-08-31
RR_301000230,OR_31002846,"Wrong Item Shipped",Approved,2023-11-15
RR_301000231,OR_31009394,"Wrong Item Shipped",Approved,2024-05-19
RR_301000232,OR_31006310,"Defective Product",Rejected,2024-09-02
RR_301000233,OR_31002005,"Late Delivery",Approved,2024-06-07
RR_301000234,OR_31002447,"Defective Product",Rejected,2024-11-30
RR_301000235,OR_31005435,"Defective Product",Rejected,2024-03-17
RR_301000236,OR_31005156,"Wrong Item Shipped",Rejected,2023-12-07
RR_301000237,OR_31008504,"Late Delivery",Approved,2023-04-05
RR_301000238,OR_31003677,"Defective Product",Approved,2023-09-02
RR_301000239,OR_31001174,"Wrong Item Shipped",Approved,2023-07-07
RR_301000240,OR_31006043,"Defective Product",Rejected,2023-06-09
RR_301000241,OR_31006356,"Late Delivery",Rejected,2024-04-20
RR_301000242,OR_31004550,"Defective Product",Rejected,2023-07-07
RR_301000243,OR_31005508,"Wrong Item Shipped",Approved,2024-01-05
RR_301000244,OR_31005417,"Wrong Item Shipped",Approved,2024-10-16
RR_301000245,OR_31005335,"Wrong Item Shipped",Approved,2023-04-24
RR_301000246,OR_31007228,"Late Delivery",Approved,2024-12-16
RR_301000247,OR_31007895,"Late Delivery",Approved,2024-12-27
RR_301000248,OR_31004250,"Late Delivery",Rejected,2023-07-10
RR_301000249,OR_31003858,"Defective Product",Approved,2023-07-04
RR_301000250,OR_31002342,"Late Delivery",Approved,2024-01-02
RR_301000251,OR_31005115,"Late Delivery",Rejected,2023-02-21
RR_301000252,OR_31004120,"Late Delivery",Rejected,2024-12-14
RR_301000253,OR_31000889,"Defective Product",Approved,2023-07-20
RR_301000254,OR_31009936,"Late Delivery",Rejected,2023-10-07
RR_301000255,OR_31003035,"Wrong Item Shipped",Rejected,2023-05-23
RR_301000256,OR_31005296,"Defective Product",Rejected,2024-06-04
RR_301000257,OR_31002951,"Late Delivery",Rejected,2023-09-19
RR_301000258,OR_31007475,"Wrong Item Shipped",Approved,2024-01-20
RR_301000259,OR_31002692,"Late Delivery",Rejected,2023-11-07
RR_301000260,OR_31006407,"Wrong Item Shipped",Rejected,2023-04-08
RR_301000261,OR_31004850,"Late Delivery",Rejected,2023-07-28
RR_301000262,OR_31000845,"Late Delivery",Approved,2024-08-04
RR_301000263,OR_31009092,"Defective Product",Rejected,2023-08-05
RR_301000264,OR_31005544,"Wrong Item Shipped",Approved,2023-08-29
RR_301000265,OR_31002164,"Wrong Item Shipped",Approved,2023-07-11
RR_301000266,OR_31007983,"Defective Product",Rejected,2023-08-20
RR_301000267,OR_31008542,"Defective Product",Rejected,2023-09-05
RR_301000268,OR_31009552,"Late Delivery",Approved,2024-10-15
RR_301000269,OR_31003623,"Defective Product",Rejected,2023-11-24
RR_301000270,OR_31005303,"Wrong Item Shipped",Approved,2023-10-31
RR_301000271,OR_31000551,"Wrong Item Shipped",Approved,2024-08-24
RR_301000272,OR_31007637,"Wrong Item Shipped",Rejected,2024-11-18
RR_301000273,OR_31005433,"Late Delivery",Approved,2023-10-06
RR_301000274,OR_31002926,"Wrong Item Shipped",Rejected,2024-10-16
RR_301000275,OR_31009791,"Wrong Item Shipped",Approved,2024-05-06
RR_301000276,OR_31002946,"Defective Product",Rejected,2023-09-29
RR_301000277,OR_31002898,"Late Delivery",Rejected,2023-02-06
RR_301000278,OR_31004081,"Defective Product",Approved,2023-09-27
RR_301000279,OR_31007410,"Wrong Item Shipped",Rejected,2024-10-31
RR_301000280,OR_31003049,"Wrong Item Shipped",Approved,2023-08-09
RR_301000281,OR_31001844,"Wrong Item Shipped",Approved,2024-12-08
RR_301000282,OR_31008091,"Wrong Item Shipped",Approved,2024-06-04
RR_301000283,OR_31005805,"Wrong Item Shipped",Approved,2024-02-27
RR_301000284,OR_31007746,"Wrong Item Shipped",Rejected,2023-09-02
RR_301000285,OR_31002548,"Defective Product",Approved,2024-06-21
RR_301000286,OR_31002441,"Late Delivery",Approved,2023-12-27
RR_301000287,OR_31004164,"Defective Product",Approved,2023-12-01
RR_301000288,OR_31008372,"Defective Product",Approved,2024-05-27
RR_301000289,OR_31004763,"Wrong Item Shipped",Approved,2023-10-17
RR_301000290,OR_31002242,"Defective Product",Rejected,2023-11-05
RR_301000291,OR_31006536,"Late Delivery",Approved,2023-06-07
RR_301000292,OR_31003818,"Wrong Item Shipped",Rejected,2024-03-16
RR_301000293,OR_31005129,"Defective Product",Rejected,2024-03-12
RR_301000294,OR_31009488,"Wrong Item Shipped",Rejected,2024-01-22
RR_301000295,OR_31004126,"Late Delivery",Rejected,2024-01-26
RR_301000296,OR_31006090,"Wrong Item Shipped",Approved,2023-05-20
RR_301000297,OR_31007090,"Wrong Item Shipped",Approved,2023-08-04
RR_301000298,OR_31008888,"Wrong Item Shipped",Approved,2023-12-24
RR_301000299,OR_31001583,"Late Delivery",Rejected,2024-08-01
RR_301000300,OR_31001764,"Late Delivery",Approved,2024-04-18
RR_301000301,OR_31006705,"Late Delivery",Rejected,2024-01-24
RR_301000302,OR_31006846,"Wrong Item Shipped",Approved,2023-01-22
RR_301000303,OR_31008049,"Wrong Item Shipped",Approved,2024-04-10
RR_301000304,OR_31001402,"Late Delivery",Approved,2023-12-22
RR_301000305,OR_31005787,"Wrong Item Shipped",Rejected,2024-04-20
RR_301000306,OR_31004155,"Wrong Item Shipped",Rejected,2024-06-08
RR_301000307,OR_31003116,"Late Delivery",Approved,2023-04-19
RR_301000308,OR_31003530,"Late Delivery",Approved,2024-06-17
RR_301000309,OR_31004312,"Wrong Item Shipped",Approved,2023-07-14
RR_301000310,OR_31008690,"Wrong Item Shipped",Approved,2024-12-19
RR_301000311,OR_31008551,"Defective Product",Rejected,2023-06-08
RR_301000312,OR_31008012,"Defective Product",Approved,2023-09-18
RR_301000313,OR_31002465,"Defective Product",Approved,2024-02-22
RR_301000314,OR_31001920,"Wrong Item Shipped",Rejected,2023-09-30
RR_301000315,OR_31008902,"Defective Product",Rejected,2023-11-15
RR_301000316,OR_31003407,"Late Delivery",Rejected,2024-01-25
RR_301000317,OR_31009356,"Wrong Item Shipped",Approved,2024-04-11
RR_301000318,OR_31000036,"Wrong Item Shipped",Rejected,2023-02-26
RR_301000319,OR_31008543,"Late Delivery",Rejected,2023-01-31
RR_301000320,OR_31008455,"Wrong Item Shipped",Rejected,2024-11-08
RR_301000321,OR_31007349,"Wrong Item Shipped",Rejected,2024-06-14
RR_301000322,OR_31002352,"Defective Product",Rejected,2024-04-21
RR_301000323,OR_31007304,"Wrong Item Shipped",Rejected,2024-10-26
RR_301000324,OR_31002709,"Late Delivery",Approved,2024-12-29
RR_301000325,OR_31007009,"Wrong Item Shipped",Rejected,2023-11-02
RR_301000326,OR_31000262,"Wrong Item Shipped",Approved,2023-07-29
RR_301000327,OR_31006981,"Wrong Item Shipped",Rejected,2024-03-26
RR_301000328,OR_31004308,"Late Delivery",Rejected,2024-10-03
RR_301000329,OR_31000989,"Defective Product",Rejected,2023-12-11
RR_301000330,OR_31002604,"Late Delivery",Rejected,2024-01-26
RR_301000331,OR_31002864,"Defective Product",Approved,2024-01-20
RR_301000332,OR_31007902,"Wrong Item Shipped",Rejected,2023-07-21
RR_301000333,OR_31002027,"Late Delivery",Rejected,2023-02-18
RR_301000334,OR_31004377,"Defective Product",Rejected,2024-10-12
RR_301000335,OR_31001212,"Defective Product",Approved,2023-06-12
RR_301000336,OR_31004023,"Defective Product",Approved,2023-04-22
RR_301000337,OR_31002840,"Defective Product",Rejected,2023-10-06
RR_301000338,OR_31004657,"Defective Product",Rejected,2024-01-07
RR_301000339,OR_31008937,"Late Delivery",Rejected,2024-08-17
RR_301000340,OR_31000728,"Wrong Item Shipped",Approved,2024-01-17
RR_301000341,OR_31000920,"Wrong Item Shipped",Rejected,2024-02-06
RR_301000342,OR_31004417,"Wrong Item Shipped",Rejected,2024-11-23
RR_301000343,OR_31002125,"Wrong Item Shipped",Rejected,2023-05-24
RR_301000344,OR_31004790,"Defective Product",Approved,2024-10-21
RR_301000345,OR_31004982,"Wrong Item Shipped",Approved,2024-07-14
RR_301000346,OR_31005898,"Defective Product",Rejected,2024-01-21
RR_301000347,OR_31009482,"Wrong Item Shipped",Rejected,2024-05-13
RR_301000348,OR_31002150,"Wrong Item Shipped",Approved,2023-01-07
RR_301000349,OR_31007773,"Late Delivery",Approved,2024-06-04
RR_301000350,OR_31008679,"Defective Product",Rejected,2024-10-14
RR_301000351,OR_31006227,"Defective Product",Approved,2024-07-17
RR_301000352,OR_31008635,"Late Delivery",Rejected,2023-06-23
RR_301000353,OR_31004792,"Wrong Item Shipped",Rejected,2024-04-09
RR_301000354,OR_31001939,"Wrong Item Shipped",Approved,2023-01-04
RR_301000355,OR_31008667,"Late Delivery",Approved,2024-01-08
RR_301000356,OR_31002684,"Defective Product",Approved,2023-12-13
RR_301000357,OR_31002714,"Defective Product",Approved,2024-03-03
RR_301000358,OR_31001456,"Wrong Item Shipped",Approved,2023-02-22
RR_301000359,OR_31001465,"Late Delivery",Rejected,2023-10-22
RR_301000360,OR_31003301,"Defective Product",Rejected,2024-01-28
RR_301000361,OR_31000577,"Wrong Item Shipped",Approved,2024-03-18
RR_301000362,OR_31002822,"Late Delivery",Rejected,2024-10-13
RR_301000363,OR_31009976,"Wrong Item Shipped",Approved,2024-01-02
RR_301000364,OR_31008734,"Defective Product",Approved,2024-10-07
RR_301000365,OR_31003417,"Wrong Item Shipped",Approved,2024-07-09
RR_301000366,OR_31003106,"Wrong Item Shipped",Rejected,2024-02-12
RR_301000367,OR_31009973,"Defective Product",Rejected,2023-07-08
RR_301000368,OR_31002095,"Wrong Item Shipped",Approved,2023-06-04
RR_301000369,OR_31003398,"Wrong Item Shipped",Rejected,2023-05-28
RR_301000370,OR_31008125,"Defective Product",Approved,2024-08-02
RR_301000371,OR_31001569,"Defective Product",Rejected,2024-08-08
RR_301000372,OR_31007000,"Wrong Item Shipped",Approved,2024-02-21
RR_301000373,OR_31000306,"Wrong Item Shipped",Approved,2024-02-02
RR_301000374,OR_31005046,"Defective Product",Rejected,2023-08-14
RR_301000375,OR_31007234,"Defective Product",Rejected,2024-02-03
RR_301000376,OR_31002814,"Wrong Item Shipped",Approved,2023-12-14
RR_301000377,OR_31007796,"Late Delivery",Approved,2024-03-11
RR_301000378,OR_31006963,"Late Delivery",Approved,2024-06-04
RR_301000379,OR_31009041,"Late Delivery",Approved,2023-11-06
RR_301000380,OR_31005312,"Late Delivery",Rejected,2023-11-26
RR_301000381,OR_31008982,"Defective Product",Rejected,2024-09-26
RR_301000382,OR_31007087,"Wrong Item Shipped",Approved,2023-09-25
RR_301000383,OR_31000294,"Wrong Item Shipped",Rejected,2024-01-15
RR_301000384,OR_31003189,"Wrong Item Shipped",Rejected,2023-04-29
RR_301000385,OR_31001429,"Wrong Item Shipped",Rejected,2023-11-17
RR_301000386,OR_31000009,"Late Delivery",Approved,2023-12-15
RR_301000387,OR_31009727,"Wrong Item Shipped",Approved,2023-11-16
RR_301000388,OR_31006193,"Late Delivery",Approved,2024-06-13
RR_301000389,OR_31009414,"Late Delivery",Rejected,2024-03-03
RR_301000390,OR_31009302,"Defective Product",Rejected,2024-09-18
RR_301000391,OR_31008275,"Late Delivery",Rejected,2024-11-17
RR_301000392,OR_31002670,"Defective Product",Approved,2023-06-07
RR_301000393,OR_31000583,"Late Delivery",Rejected,2023-07-12
RR_301000394,OR_31003818,"Late Delivery",Approved,2024-05-30
RR_301000395,OR_31004044,"Defective Product",Approved,2023-05-16
RR_301000396,OR_31007597,"Defective Product",Rejected,2023-03-28
RR_301000397,OR_31000016,"Defective Product",Approved,2023-02-20
RR_301000398,OR_31007958,"Defective Product",Rejected,2023-09-19
RR_301000399,OR_31004058,"Defective Product",Approved,2023-06-30
RR_301000400,OR_31008633,"Wrong Item Shipped",Rejected,2024-02-16
RR_301000401,OR_31009798,"Late Delivery",Rejected,2024-05-29
RR_301000402,OR_31004859,"Wrong Item Shipped",Rejected,2024-04-15
