Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon,DP_ID,Discount
OR_31000036,CS_11007453,PD_21008790,2023-04-26,07:02:11,4,WHETHER,DV_61000003,10
OR_31000037,CS_11009553,PD_21007066,2024-05-09,23:49:24,9,PRODUCTION,DV_61000005,25
OR_31000038,CS_11004825,PD_21003679,2024-12-02,03:13:59,2,KIND,DV_61000004,45
OR_31000039,CS_11006576,PD_21003417,2024-03-29,09:43:50,8,"No Coupon",DV_61000003,0
OR_31000040,CS_11003279,PD_21009506,2024-06-30,12:00:26,5,PAST,DV_61000001,25
OR_31000041,CS_11006547,PD_21007159,2023-05-17,03:27:02,10,"No Coupon",DV_61000002,0
OR_31000042,CS_11007500,PD_21002675,2023-02-04,18:52:39,5,PARTICULAR,DV_61000002,25
OR_31000043,CS_11008527,PD_21004171,2024-01-20,18:23:56,10,"No Coupon",DV_61000005,0
OR_31000044,CS_11002206,PD_21001254,2024-07-27,21:45:24,9,NOTICE,DV_61000004,10
OR_31000045,CS_11005325,PD_21001968,2024-12-09,19:03:48,6,REASON,DV_61000004,5
OR_31000046,CS_11006718,PD_21007443,2024-07-19,20:24:38,7,"No Coupon",DV_61000002,0
OR_31000047,CS_11004011,PD_21001259,2023-10-09,21:41:07,9,"No Coupon",DV_61000001,0
OR_31000048,CS_11000092,PD_21005256,2023-09-26,21:14:46,4,"No Coupon",DV_61000002,0
OR_31000049,CS_11007466,PD_21005894,2024-08-24,01:58:12,6,TRADE,DV_61000002,25
OR_31000050,CS_11007759,PD_21008630,2024-01-11,18:12:09,4,BILLION,DV_61000004,12
OR_31000051,CS_11008107,PD_21004620,2024-10-24,16:42:49,7,"No Coupon",DV_61000003,0
OR_31000052,CS_11004422,PD_21008162,2023-03-18,20:57:52,4,CALL,DV_61000001,15
OR_31000053,CS_11004835,PD_21003838,2024-04-30,19:04:51,6,FINISH,DV_61000004,25
OR_31000054,CS_11007106,PD_21006516,2023-08-12,11:04:50,4,"No Coupon",DV_61000002,0
OR_31000055,CS_11004663,PD_21009618,2023-02-14,20:49:32,9,"No Coupon",DV_61000003,0
OR_31000056,CS_11005198,PD_21009570,2023-04-05,04:48:41,9,"No Coupon",DV_61000001,0
OR_31000057,CS_11008203,PD_21009996,2024-02-26,16:30:23,9,"No Coupon",DV_61000005,0
OR_31000058,CS_11006638,PD_21006774,2024-11-11,11:35:48,2,JUST,DV_61000001,17
OR_31000059,CS_11002844,PD_21007160,2024-08-07,01:03:37,2,AGREEMENT,DV_61000001,10
OR_31000060,CS_11005184,PD_21009537,2023-04-17,12:45:22,7,SHARE,DV_61000002,10
OR_31000061,CS_11005132,PD_21000060,2023-03-16,14:21:19,7,"No Coupon",DV_61000002,0
OR_31000062,CS_11003595,PD_21000406,2023-09-13,20:45:58,3,UNTIL,DV_61000005,50
OR_31000063,CS_11006065,PD_21005845,2023-11-03,21:23:02,1,DETERMINE,DV_61000005,5
OR_31000064,CS_11001187,PD_21002188,2023-10-18,16:17:56,3,MRS,DV_61000005,15
OR_31000065,CS_11003334,PD_21002947,2024-06-19,07:56:08,6,THROUGHOUT,DV_61000004,25
OR_31000066,CS_11005778,PD_21005020,2023-06-30,07:35:38,9,"No Coupon",DV_61000004,0
OR_31000067,CS_11009943,PD_21006686,2023-11-10,20:57:22,7,"No Coupon",DV_61000002,0
OR_31000068,CS_11003352,PD_21008924,2023-10-01,20:42:17,3,"No Coupon",DV_61000002,0
OR_31000069,CS_11005434,PD_21004749,2024-05-10,10:24:29,2,UNDER,DV_61000005,50
OR_31000070,CS_11001256,PD_21005091,2023-10-05,01:00:37,5,"No Coupon",DV_61000004,0
OR_31000071,CS_11009390,PD_21009652,2024-08-12,09:47:15,6,NEARLY,DV_61000003,10
OR_31000072,CS_11001228,PD_21000006,2023-12-08,09:02:57,10,"No Coupon",DV_61000004,0
OR_31000073,CS_11004152,PD_21001308,2024-12-21,00:18:31,5,BENEFIT,DV_61000002,12
OR_31000074,CS_11002658,PD_21001988,2024-05-04,15:38:54,4,OK,DV_61000004,20
OR_31000075,CS_11001859,PD_21009090,2023-03-29,03:43:57,7,"No Coupon",DV_61000002,0
OR_31000076,CS_11008915,PD_21002976,2023-10-14,20:16:27,5,PRACTICE,DV_61000005,25
OR_31000077,CS_11003913,PD_21009390,2023-07-25,01:10:20,8,LEARN,DV_61000005,20
OR_31000078,CS_11005696,PD_21007362,2023-03-04,00:05:03,9,"No Coupon",DV_61000005,0
OR_31000079,CS_11008762,PD_21001956,2024-05-01,18:04:38,8,"No Coupon",DV_61000003,0
OR_31000080,CS_11003374,PD_21008829,2023-01-13,00:55:21,4,LETTER,DV_61000003,20
OR_31000081,CS_11004800,PD_21005414,2023-06-20,07:36:29,6,"No Coupon",DV_61000002,0
OR_31000082,CS_11002853,PD_21006512,2023-09-13,14:49:24,7,"No Coupon",DV_61000001,0
OR_31000083,CS_11001649,PD_21006227,2024-10-09,15:12:38,7,"No Coupon",DV_61000003,0
OR_31000084,CS_11004443,PD_21009877,2024-05-19,14:17:10,9,"No Coupon",DV_61000002,0
OR_31000085,CS_11009661,PD_21000006,2024-12-24,17:57:09,7,"No Coupon",DV_61000004,0
OR_31000086,CS_11003487,PD_21009406,2023-08-23,13:28:07,9,HUMAN,DV_61000005,40
OR_31000087,CS_11001857,PD_21006949,2024-12-23,15:52:28,3,CHAIR,DV_61000005,15
OR_31000088,CS_11008563,PD_21000908,2023-02-24,01:31:07,7,PLACE,DV_61000005,25
OR_31000089,CS_11001106,PD_21003144,2023-01-08,06:47:01,1,"No Coupon",DV_61000002,0
OR_31000090,CS_11009163,PD_21003087,2024-01-29,21:04:37,8,"No Coupon",DV_61000005,0
OR_31000091,CS_11006239,PD_21003439,2023-04-20,16:06:33,2,"No Coupon",DV_61000003,0
OR_31000092,CS_11009580,PD_21006803,2023-09-22,13:25:02,2,"No Coupon",DV_61000004,0
OR_31000093,CS_11003344,PD_21000610,2024-10-28,18:58:56,7,"No Coupon",DV_61000005,0
OR_31000094,CS_11009436,PD_21004681,2024-03-27,06:36:30,8,"No Coupon",DV_61000002,0
OR_31000095,CS_11006239,PD_21008997,2024-03-24,13:34:06,9,"No Coupon",DV_61000004,0
OR_31000096,CS_11001013,PD_21002333,2024-08-10,22:41:13,4,"No Coupon",DV_61000005,0
OR_31000097,CS_11007166,PD_21000110,2024-12-31,06:47:21,8,SAY,DV_61000001,10
OR_31000098,CS_11000748,PD_21000518,2023-09-29,00:16:03,2,GOAL,DV_61000005,50
OR_31000099,CS_11001498,PD_21004697,2023-02-25,20:24:33,9,"No Coupon",DV_61000003,0
OR_31000100,CS_11004542,PD_21009957,2023-12-12,18:15:03,3,DESIGN,DV_61000004,5
OR_31000101,CS_11004395,PD_21003100,2023-06-23,12:17:11,1,CULTURAL,DV_61000003,15
OR_31000102,CS_11003323,PD_21002101,2024-08-20,14:36:57,4,"No Coupon",DV_61000001,0
OR_31000103,CS_11001587,PD_21005893,2024-04-12,10:32:35,7,"No Coupon",DV_61000001,0
OR_31000104,CS_11002708,PD_21008899,2024-02-01,01:25:59,8,INSTEAD,DV_61000003,35
OR_31000105,CS_11008634,PD_21008093,2024-11-10,06:08:18,6,"No Coupon",DV_61000004,0
OR_31000106,CS_11001393,PD_21002028,2023-06-20,04:41:53,6,SOUND,DV_61000001,10
OR_31000107,CS_11002849,PD_21004372,2023-11-12,00:29:50,4,"No Coupon",DV_61000001,0
OR_31000108,CS_11007928,PD_21004251,2024-12-13,04:14:05,3,"No Coupon",DV_61000005,0
OR_31000109,CS_11006012,PD_21004655,2024-11-11,08:18:01,2,"No Coupon",DV_61000002,0
OR_31000110,CS_11008962,PD_21000913,2023-11-07,21:24:32,7,"No Coupon",DV_61000001,0
OR_31000111,CS_11008830,PD_21007688,2023-11-05,05:28:27,1,YET,DV_61000004,30
OR_31000112,CS_11004941,PD_21001604,2024-08-19,13:05:39,6,HEAD,DV_61000004,40
OR_31000113,CS_11001616,PD_21003534,2023-02-03,05:41:23,5,ITS,DV_61000005,35
OR_31000114,CS_11005879,PD_21006527,2024-08-26,22:01:20,3,"No Coupon",DV_61000004,0
OR_31000115,CS_11006221,PD_21001494,2024-11-01,17:08:56,3,"No Coupon",DV_61000005,0
OR_31000116,CS_11004023,PD_21008792,2024-06-23,12:54:16,10,"No Coupon",DV_61000001,0
OR_31000117,CS_11005164,PD_21005014,2024-11-15,02:45:54,3,ALREADY,DV_61000001,10
OR_31000118,CS_11002343,PD_21002498,2024-05-13,10:01:04,2,"No Coupon",DV_61000001,0
OR_31000119,CS_11008971,PD_21004847,2023-07-19,14:49:29,7,ORGANIZATION,DV_61000001,20
OR_31000120,CS_11000641,PD_21003306,2024-07-10,00:41:47,9,"No Coupon",DV_61000002,0
OR_31000121,CS_11004766,PD_21003372,2024-12-17,19:10:26,4,UNTIL,DV_61000002,50
OR_31000122,CS_11005058,PD_21000801,2023-06-28,13:59:30,2,"No Coupon",DV_61000001,0
OR_31000123,CS_11003747,PD_21001181,2023-01-08,10:27:59,9,"No Coupon",DV_61000004,0
OR_31000124,CS_11002511,PD_21006789,2023-06-14,06:13:03,10,"No Coupon",DV_61000005,0
OR_31000125,CS_11005758,PD_21007797,2023-09-17,05:20:45,1,SUMMER,DV_61000003,10
OR_31000126,CS_11003516,PD_21001861,2023-11-17,04:18:58,6,BIG,DV_61000005,12
OR_31000127,CS_11009351,PD_21009331,2024-06-25,07:42:33,9,MOTHER,DV_61000003,15
OR_31000128,CS_11004114,PD_21001129,2023-08-01,11:17:46,1,ASK,DV_61000003,10
OR_31000129,CS_11008591,PD_21007607,2023-08-31,19:28:39,10,"No Coupon",DV_61000001,0
OR_31000130,CS_11002562,PD_21006597,2023-05-19,17:01:01,5,SMILE,DV_61000003,10
OR_31000131,CS_11004254,PD_21001376,2024-08-11,18:13:30,8,KITCHEN,DV_61000001,45
OR_31000132,CS_11001308,PD_21000492,2023-06-10,09:17:40,6,RELIGIOUS,DV_61000002,5
OR_31000133,CS_11007821,PD_21001340,2023-12-08,19:15:38,6,"No Coupon",DV_61000004,0
OR_31000134,CS_11007501,PD_21001517,2023-04-24,14:33:16,2,"No Coupon",DV_61000003,0
OR_31000135,CS_11006371,PD_21002527,2024-06-18,19:45:21,1,CANDIDATE,DV_61000004,15
OR_31000136,CS_11001041,PD_21005602,2023-10-23,11:22:28,2,COMMERCIAL,DV_61000001,15
OR_31000137,CS_11004569,PD_21002829,2024-07-25,04:41:38,10,"No Coupon",DV_61000003,0
OR_31000138,CS_11002155,PD_21003700,2024-07-15,00:24:42,6,"No Coupon",DV_61000005,0
OR_31000139,CS_11005070,PD_21003980,2023-10-27,19:09:29,5,"No Coupon",DV_61000002,0
OR_31000140,CS_11009581,PD_21002446,2023-04-29,06:25:27,4,THERE,DV_61000002,25
OR_31000141,CS_11008730,PD_21007492,2023-07-25,06:06:57,10,"No Coupon",DV_61000003,0
OR_31000142,CS_11004039,PD_21000011,2023-02-16,23:37:57,9,HAVE,DV_61000002,40
OR_31000143,CS_11004787,PD_21002999,2024-03-07,06:14:58,1,FIVE,DV_61000005,25
OR_31000144,CS_11008097,PD_21002761,2023-05-26,04:46:51,6,LEAVE,DV_61000004,20
OR_31000145,CS_11006012,PD_21002817,2023-08-05,17:12:49,4,OCCUR,DV_61000005,20
OR_31000146,CS_11006661,PD_21008978,2023-09-06,09:03:38,9,"No Coupon",DV_61000002,0
OR_31000147,CS_11009407,PD_21000643,2023-04-15,16:11:15,8,SONG,DV_61000004,10
OR_31000148,CS_11004244,PD_21005758,2023-05-06,23:44:36,7,"No Coupon",DV_61000005,0
OR_31000149,CS_11008586,PD_21001758,2023-12-18,16:54:28,2,WEAR,DV_61000001,10
OR_31000150,CS_11001108,PD_21000570,2024-04-10,18:58:25,10,NIGHT,DV_61000001,10
OR_31000151,CS_11009940,PD_21008391,2024-01-22,05:32:55,5,"No Coupon",DV_61000004,0
OR_31000152,CS_11007222,PD_21000872,2024-07-29,12:47:51,10,VOTE,DV_61000004,12
OR_31000153,CS_11004681,PD_21001687,2023-05-11,02:58:42,10,GENERATION,DV_61000004,50
OR_31000154,CS_11003936,PD_21001355,2024-06-02,21:56:09,9,"No Coupon",DV_61000001,0
OR_31000155,CS_11006923,PD_21006491,2023-05-17,03:23:08,2,"No Coupon",DV_61000005,0
OR_31000156,CS_11005385,PD_21006014,2024-10-22,01:04:13,7,SEE,DV_61000004,10
OR_31000157,CS_11005160,PD_21005945,2024-06-03,09:09:40,4,"No Coupon",DV_61000001,0
OR_31000158,CS_11005853,PD_21007431,2023-05-18,22:17:08,6,"No Coupon",DV_61000004,0
OR_31000159,CS_11002231,PD_21000893,2023-03-16,20:33:35,4,INDUSTRY,DV_61000004,35
OR_31000160,CS_11008668,PD_21009402,2024-08-01,07:12:02,5,GO,DV_61000004,50
OR_31000161,CS_11002591,PD_21000928,2024-08-01,07:39:07,2,"No Coupon",DV_61000001,0
OR_31000162,CS_11001283,PD_21004638,2024-03-06,12:18:30,10,"No Coupon",DV_61000005,0
OR_31000163,CS_11005363,PD_21006155,2023-05-17,22:47:49,2,FOR,DV_61000001,25
OR_31000164,CS_11007311,PD_21001392,2024-06-13,12:05:00,2,CONDITION,DV_61000001,15
OR_31000165,CS_11005548,PD_21004790,2024-04-02,21:38:48,10,STILL,DV_61000004,10
OR_31000166,CS_11001720,PD_21001370,2023-11-11,06:06:07,7,"No Coupon",DV_61000003,0
OR_31000167,CS_11008449,PD_21006427,2023-11-26,03:24:06,1,LEARN,DV_61000003,20
OR_31000168,CS_11000276,PD_21004669,2023-09-09,05:15:55,5,"No Coupon",DV_61000003,0
OR_31000169,CS_11007491,PD_21007625,2023-12-26,21:06:24,3,"No Coupon",DV_61000001,0
OR_31000170,CS_11008297,PD_21003946,2023-06-11,20:00:19,10,"No Coupon",DV_61000004,0
OR_31000171,CS_11004503,PD_21001878,2023-05-14,10:09:57,2,THUS,DV_61000003,25
OR_31000172,CS_11004597,PD_21004021,2023-07-31,15:31:38,9,"No Coupon",DV_61000002,0
OR_31000173,CS_11005176,PD_21006763,2024-11-27,00:55:46,6,TOGETHER,DV_61000002,25
OR_31000174,CS_11006975,PD_21005258,2024-06-10,11:51:02,2,WAIT,DV_61000002,10
OR_31000175,CS_11003524,PD_21002890,2024-12-13,02:35:08,6,"No Coupon",DV_61000005,0
OR_31000176,CS_11004163,PD_21008893,2024-06-05,01:42:17,7,CITY,DV_61000004,15
OR_31000177,CS_11007831,PD_21003897,2023-11-15,17:24:28,2,"No Coupon",DV_61000001,0
OR_31000178,CS_11003240,PD_21000268,2024-04-21,08:34:54,3,"No Coupon",DV_61000001,0
OR_31000179,CS_11006463,PD_21002606,2024-03-07,13:32:15,7,ROOM,DV_61000004,5
OR_31000180,CS_11009675,PD_21002186,2024-09-03,05:29:23,8,LETTER,DV_61000005,20
OR_31000181,CS_11001762,PD_21009837,2024-08-11,16:55:22,7,ASSUME,DV_61000004,10
OR_31000182,CS_11008688,PD_21009548,2024-03-12,19:31:31,3,"No Coupon",DV_61000005,0
OR_31000183,CS_11005596,PD_21007257,2023-11-25,15:25:51,10,"No Coupon",DV_61000003,0
OR_31000184,CS_11000717,PD_21001313,2024-07-07,17:18:13,5,ONCE,DV_61000003,20
OR_31000185,CS_11005297,PD_21004099,2024-10-16,01:41:38,9,FINAL,DV_61000005,25
OR_31000186,CS_11007629,PD_21005817,2023-03-05,20:34:43,1,SHOULDER,DV_61000004,10
OR_31000187,CS_11009565,PD_21007399,2024-09-12,00:26:42,5,EFFECT,DV_61000003,20
OR_31000188,CS_11008664,PD_21006318,2023-10-14,09:40:04,7,INCLUDE,DV_61000004,35
OR_31000189,CS_11006523,PD_21009291,2024-05-31,13:34:04,2,"No Coupon",DV_61000003,0
OR_31000190,CS_11009714,PD_21009108,2023-05-04,08:16:10,8,"No Coupon",DV_61000004,0
OR_31000191,CS_11000479,PD_21008237,2023-01-24,05:30:31,1,MACHINE,DV_61000004,15
OR_31000192,CS_11007980,PD_21002418,2023-06-28,12:12:24,1,"No Coupon",DV_61000002,0
OR_31000193,CS_11002726,PD_21008244,2023-05-14,08:41:04,5,HUGE,DV_61000005,40
OR_31000194,CS_11007136,PD_21009306,2023-11-08,06:31:35,10,FAST,DV_61000001,25
OR_31000195,CS_11009007,PD_21003288,2023-05-24,10:06:34,7,THREAT,DV_61000005,25
OR_31000196,CS_11004323,PD_21009317,2023-05-09,10:03:23,1,SOUND,DV_61000004,10
OR_31000197,CS_11003260,PD_21005320,2023-09-11,01:44:48,5,"No Coupon",DV_61000004,0
OR_31000198,CS_11009495,PD_21004512,2023-03-14,10:24:42,9,"No Coupon",DV_61000005,0
OR_31000199,CS_11007827,PD_21000655,2024-03-31,19:32:01,9,"No Coupon",DV_61000004,0
OR_31000200,CS_11009700,PD_21009780,2024-04-12,21:44:30,9,"No Coupon",DV_61000003,0
OR_31000201,CS_11007694,PD_21007346,2023-03-17,10:07:27,7,BASE,DV_61000004,12
OR_31000202,CS_11009528,PD_21005876,2023-09-16,09:39:11,5,"No Coupon",DV_61000005,0
OR_31000203,CS_11001369,PD_21002593,2024-09-12,03:57:36,2,MACHINE,DV_61000005,15
OR_31000204,CS_11001757,PD_21000539,2024-05-26,07:53:38,4,"No Coupon",DV_61000005,0
OR_31000205,CS_11007690,PD_21003315,2023-12-08,16:17:16,6,WESTERN,DV_61000002,10
OR_31000206,CS_11009173,PD_21007833,2024-09-01,04:07:07,8,"No Coupon",DV_61000002,0
OR_31000207,CS_11002768,PD_21006257,2023-02-09,21:16:14,4,CLAIM,DV_61000002,15
OR_31000208,CS_11008110,PD_21003813,2024-03-30,12:21:41,8,"No Coupon",DV_61000002,0
OR_31000209,CS_11000255,PD_21000691,2023-06-26,11:14:46,7,MOUTH,DV_61000002,15
OR_31000210,CS_11004759,PD_21003241,2024-02-11,20:02:34,4,"No Coupon",DV_61000002,0
OR_31000211,CS_11007311,PD_21008065,2024-04-02,04:41:52,8,"No Coupon",DV_61000002,0
OR_31000212,CS_11001360,PD_21004921,2023-10-08,14:28:21,6,"No Coupon",DV_61000005,0
OR_31000213,CS_11004289,PD_21005562,2023-04-10,06:57:51,5,TELL,DV_61000001,25
OR_31000214,CS_11001058,PD_21002624,2024-10-30,16:15:41,6,BLUE,DV_61000002,12
OR_31000215,CS_11004729,PD_21002830,2023-01-09,23:30:49,8,FOCUS,DV_61000005,25
OR_31000216,CS_11007848,PD_21006688,2023-08-30,12:29:48,10,IDENTIFY,DV_61000001,35
OR_31000217,CS_11002243,PD_21005923,2023-01-25,11:23:02,9,"No Coupon",DV_61000002,0
OR_31000218,CS_11002555,PD_21001680,2024-09-13,01:02:20,9,"No Coupon",DV_61000001,0
OR_31000219,CS_11005906,PD_21009291,2023-05-17,09:37:49,1,"No Coupon",DV_61000001,0
OR_31000220,CS_11003564,PD_21006035,2024-06-12,09:36:46,2,SPEECH,DV_61000003,10
OR_31000221,CS_11006205,PD_21006677,2023-08-31,17:41:58,2,UNDERSTAND,DV_61000004,50
OR_31000222,CS_11008558,PD_21005423,2024-04-22,13:33:24,4,"No Coupon",DV_61000003,0
OR_31000223,CS_11006438,PD_21006883,2023-04-04,08:32:10,8,"No Coupon",DV_61000001,0
OR_31000224,CS_11006657,PD_21001895,2023-09-23,06:29:18,2,STORE,DV_61000005,10
OR_31000225,CS_11002381,PD_21006916,2023-12-17,00:36:45,1,STRATEGY,DV_61000002,10
OR_31000226,CS_11008578,PD_21006608,2023-10-06,13:24:39,2,"No Coupon",DV_61000004,0
OR_31000227,CS_11008103,PD_21007361,2024-02-07,02:22:38,3,HUGE,DV_61000002,40
OR_31000228,CS_11006534,PD_21007603,2024-11-25,14:05:53,6,MAJOR,DV_61000005,15
OR_31000229,CS_11003858,PD_21009896,2024-01-30,04:09:10,6,IMPORTANT,DV_61000004,35
OR_31000230,CS_11004109,PD_21001408,2023-10-27,23:43:59,5,TEACHER,DV_61000003,25
OR_31000231,CS_11006923,PD_21002825,2024-12-22,22:13:09,8,"No Coupon",DV_61000001,0
OR_31000232,CS_11006182,PD_21006631,2023-12-18,03:35:06,4,PRESSURE,DV_61000005,25
OR_31000233,CS_11001428,PD_21000992,2024-07-27,11:22:00,7,TWO,DV_61000001,25
OR_31000234,CS_11008229,PD_21006849,2024-12-18,06:28:43,2,"No Coupon",DV_61000001,0
OR_31000235,CS_11004529,PD_21002539,2023-08-27,21:39:27,10,"No Coupon",DV_61000002,0
OR_31000236,CS_11002430,PD_21002868,2024-06-19,08:58:57,7,"No Coupon",DV_61000005,0
OR_31000237,CS_11002326,PD_21008486,2023-02-08,08:05:07,7,"No Coupon",DV_61000001,0
OR_31000238,CS_11009781,PD_21000065,2023-06-25,13:12:45,2,BAD,DV_61000003,12
OR_31000239,CS_11000543,PD_21007918,2024-03-17,22:06:21,6,PARENT,DV_61000004,25
OR_31000240,CS_11003505,PD_21004664,2024-11-03,10:55:03,7,SOON,DV_61000005,10
OR_31000241,CS_11006216,PD_21000353,2023-07-11,14:32:54,8,"No Coupon",DV_61000002,0
OR_31000242,CS_11006340,PD_21007345,2024-04-16,13:25:19,9,MARRIAGE,DV_61000005,15
OR_31000243,CS_11005778,PD_21004367,2023-11-03,19:57:01,3,SIGNIFICANT,DV_61000002,10
OR_31000244,CS_11001890,PD_21004157,2024-11-15,19:46:24,1,CUT,DV_61000004,15
OR_31000245,CS_11006428,PD_21009477,2023-08-05,14:12:42,7,APPLY,DV_61000003,10
OR_31000246,CS_11002565,PD_21000464,2023-10-04,02:33:27,2,"No Coupon",DV_61000001,0
OR_31000247,CS_11002329,PD_21002012,2023-08-05,22:46:31,2,"No Coupon",DV_61000005,0
OR_31000248,CS_11001537,PD_21002519,2024-12-22,17:27:20,1,"No Coupon",DV_61000002,0
OR_31000249,CS_11007166,PD_21004824,2024-09-30,00:06:07,10,"No Coupon",DV_61000004,0
OR_31000250,CS_11001092,PD_21002381,2024-08-06,08:11:28,2,PAGE,DV_61000001,25
OR_31000251,CS_11004286,PD_21006772,2024-03-11,01:05:05,4,CHARACTER,DV_61000004,15
OR_31000252,CS_11006668,PD_21001357,2023-03-09,12:57:01,10,THEIR,DV_61000003,25
OR_31000253,CS_11005420,PD_21003206,2023-01-21,23:59:03,3,WHETHER,DV_61000001,10
OR_31000254,CS_11008560,PD_21009511,2024-12-01,09:46:50,5,ANYTHING,DV_61000001,10
OR_31000255,CS_11005952,PD_21000281,2023-06-12,10:53:06,7,LIVE,DV_61000001,20
OR_31000256,CS_11002244,PD_21006999,2024-04-18,13:49:51,7,"No Coupon",DV_61000002,0
OR_31000257,CS_11006161,PD_21004164,2023-12-17,11:04:14,8,CHURCH,DV_61000001,15
OR_31000258,CS_11009346,PD_21001361,2024-09-12,21:03:18,4,"No Coupon",DV_61000004,0
OR_31000259,CS_11009545,PD_21006214,2023-11-02,17:24:57,4,"No Coupon",DV_61000002,0
OR_31000260,CS_11009350,PD_21009178,2024-01-08,13:51:50,4,"No Coupon",DV_61000001,0
OR_31000261,CS_11004456,PD_21009597,2023-01-07,10:25:00,1,AVAILABLE,DV_61000004,10
OR_31000262,CS_11003852,PD_21006098,2023-02-21,06:42:48,8,"No Coupon",DV_61000004,0
OR_31000263,CS_11008486,PD_21003331,2024-08-13,12:43:36,1,"No Coupon",DV_61000005,0
OR_31000264,CS_11005750,PD_21001786,2023-12-22,14:56:03,1,UNDERSTAND,DV_61000004,50
OR_31000265,CS_11009571,PD_21000058,2023-01-06,06:40:59,10,FOR,DV_61000003,25
OR_31000266,CS_11005945,PD_21002048,2024-03-01,23:25:47,9,PROFESSOR,DV_61000001,25
OR_31000267,CS_11005688,PD_21009287,2024-10-31,14:27:22,7,"No Coupon",DV_61000001,0
OR_31000268,CS_11002640,PD_21000554,2023-11-08,19:05:04,8,"No Coupon",DV_61000001,0
OR_31000269,CS_11008806,PD_21004496,2024-10-27,02:13:16,9,"No Coupon",DV_61000004,0
OR_31000270,CS_11007535,PD_21001932,2023-01-06,02:57:45,10,"No Coupon",DV_61000004,0
