Tr_ID,Or_ID,Transaction_Mode,Reward
TR_41000211,OR_31001180,"Credit Card",Yes
TR_41000212,OR_31008841,"Debit Card",No
TR_41000213,OR_31003600,UPI,No
TR_41000214,OR_31005788,Wallet,Yes
TR_41000215,OR_31004524,"Net Banking",No
TR_41000216,OR_31009495,"Credit Card",No
TR_41000217,OR_31003090,UPI,No
TR_41000218,OR_31004598,Wallet,No
TR_41000219,OR_31004325,UPI,Yes
TR_41000220,OR_31005356,"Credit Card",Yes
TR_41000221,OR_31009065,Wallet,Yes
TR_41000222,OR_31005207,Wallet,Yes
TR_41000223,OR_31004569,UPI,No
TR_41000224,OR_31005919,UPI,No
TR_41000225,OR_31007731,Wallet,No
TR_41000226,OR_31000172,"Net Banking",No
TR_41000227,OR_31005186,"Net Banking",No
TR_41000228,OR_31008261,UPI,No
TR_41000229,OR_31006991,Wallet,No
TR_41000230,OR_31003686,"Net Banking",Yes
TR_41000231,OR_31009724,UPI,No
TR_41000232,OR_31001741,UPI,No
TR_41000233,OR_31008647,"Credit Card",No
TR_41000234,OR_31002386,Wallet,No
TR_41000235,OR_31005151,"Debit Card",No
TR_41000236,OR_31003111,"Credit Card",Yes
TR_41000237,OR_31008286,UPI,No
TR_41000238,OR_31006633,"Debit Card",No
TR_41000239,OR_31006138,"Net Banking",No
TR_41000240,OR_31009006,"Net Banking",Yes
TR_41000241,OR_31001314,"Net Banking",Yes
TR_41000242,OR_31007010,Wallet,Yes
TR_41000243,OR_31005094,Wallet,Yes
TR_41000244,OR_31006187,"Debit Card",No
TR_41000245,OR_31001976,"Net Banking",No
TR_41000246,OR_31006066,"Credit Card",No
TR_41000247,OR_31005376,"Net Banking",No
TR_41000248,OR_31008472,"Net Banking",No
TR_41000249,OR_31003340,"Debit Card",Yes
TR_41000250,OR_31002986,"Credit Card",Yes
TR_41000251,OR_31001492,"Net Banking",No
TR_41000252,OR_31007764,"Credit Card",Yes
TR_41000253,OR_31009827,Wallet,No
TR_41000254,OR_31007480,"Debit Card",Yes
TR_41000255,OR_31007676,"Credit Card",Yes
TR_41000256,OR_31003973,"Net Banking",Yes
TR_41000257,OR_31005031,Wallet,Yes
TR_41000258,OR_31002023,Wallet,Yes
TR_41000259,OR_31006407,"Net Banking",No
TR_41000260,OR_31005678,"Net Banking",Yes
TR_41000261,OR_31004361,UPI,No
TR_41000262,OR_31001455,UPI,Yes
TR_41000263,OR_31008548,"Net Banking",Yes
TR_41000264,OR_31001630,"Debit Card",Yes
TR_41000265,OR_31007779,"Credit Card",No
TR_41000266,OR_31004707,Wallet,Yes
TR_41000267,OR_31006605,"Credit Card",Yes
TR_41000268,OR_31005644,UPI,No
TR_41000269,OR_31004847,Wallet,No
TR_41000270,OR_31000286,UPI,Yes
TR_41000271,OR_31001590,"Debit Card",No
TR_41000272,OR_31008166,UPI,No
TR_41000273,OR_31000402,"Debit Card",No
TR_41000274,OR_31005304,"Net Banking",Yes
TR_41000275,OR_31009022,"Net Banking",Yes
TR_41000276,OR_31000344,"Net Banking",No
TR_41000277,OR_31008344,"Net Banking",Yes
TR_41000278,OR_31002904,"Debit Card",No
TR_41000279,OR_31009207,"Credit Card",No
TR_41000280,OR_31009284,Wallet,No
TR_41000281,OR_31008566,"Net Banking",Yes
TR_41000282,OR_31005020,"Net Banking",No
TR_41000283,OR_31000178,"Net Banking",No
TR_41000284,OR_31004136,UPI,No
TR_41000285,OR_31007385,"Credit Card",Yes
TR_41000286,OR_31001028,"Net Banking",Yes
TR_41000287,OR_31006708,"Net Banking",No
TR_41000288,OR_31009288,"Credit Card",Yes
TR_41000289,OR_31003044,"Net Banking",Yes
TR_41000290,OR_31005489,UPI,Yes
TR_41000291,OR_31006109,"Debit Card",Yes
TR_41000292,OR_31009538,"Debit Card",No
TR_41000293,OR_31007193,"Debit Card",Yes
TR_41000294,OR_31000930,Wallet,Yes
TR_41000295,OR_31000670,"Net Banking",No
TR_41000296,OR_31001386,"Credit Card",No
TR_41000297,OR_31006313,UPI,Yes
TR_41000298,OR_31005522,"Net Banking",Yes
TR_41000299,OR_31004008,UPI,No
TR_41000300,OR_31008361,"Net Banking",Yes
TR_41000301,OR_31003816,"Credit Card",No
TR_41000302,OR_31003532,"Net Banking",Yes
TR_41000303,OR_31001550,Wallet,Yes
TR_41000304,OR_31002798,"Debit Card",No
TR_41000305,OR_31002850,UPI,Yes
TR_41000306,OR_31006399,"Net Banking",Yes
TR_41000307,OR_31006057,UPI,No
TR_41000308,OR_31007306,Wallet,No
TR_41000309,OR_31009372,"Credit Card",Yes
TR_41000310,OR_31009336,Wallet,Yes
TR_41000311,OR_31001148,UPI,Yes
TR_41000312,OR_31009841,"Net Banking",Yes
TR_41000313,OR_31003484,"Net Banking",Yes
TR_41000314,OR_31000818,"Credit Card",Yes
TR_41000315,OR_31002151,"Debit Card",Yes
TR_41000316,OR_31002084,UPI,Yes
TR_41000317,OR_31009658,"Net Banking",No
TR_41000318,OR_31004862,"Debit Card",Yes
TR_41000319,OR_31001588,"Debit Card",No
TR_41000320,OR_31006092,Wallet,No
TR_41000321,OR_31008228,"Debit Card",No
TR_41000322,OR_31001985,UPI,No
TR_41000323,OR_31002063,"Debit Card",No
TR_41000324,OR_31005837,Wallet,No
TR_41000325,OR_31006331,"Credit Card",Yes
TR_41000326,OR_31000416,"Net Banking",No
TR_41000327,OR_31004438,"Net Banking",Yes
TR_41000328,OR_31000565,UPI,Yes
TR_41000329,OR_31006980,"Credit Card",No
TR_41000330,OR_31005943,Wallet,Yes
TR_41000331,OR_31007489,"Net Banking",No
TR_41000332,OR_31000150,"Debit Card",No
TR_41000333,OR_31004228,"Credit Card",No
TR_41000334,OR_31004335,UPI,No
TR_41000335,OR_31006152,UPI,Yes
TR_41000336,OR_31005405,"Credit Card",No
TR_41000337,OR_31008616,UPI,No
TR_41000338,OR_31007484,UPI,Yes
TR_41000339,OR_31007465,Wallet,Yes
TR_41000340,OR_31009885,"Credit Card",No
TR_41000341,OR_31003066,UPI,No
TR_41000342,OR_31001902,"Credit Card",Yes
TR_41000343,OR_31002405,"Net Banking",No
TR_41000344,OR_31006419,"Credit Card",Yes
TR_41000345,OR_31005109,"Credit Card",Yes
TR_41000346,OR_31007780,"Debit Card",No
TR_41000347,OR_31003755,"Net Banking",Yes
TR_41000348,OR_31008094,Wallet,No
TR_41000349,OR_31008002,Wallet,Yes
TR_41000350,OR_31005947,"Credit Card",No
TR_41000351,OR_31004915,Wallet,Yes
TR_41000352,OR_31004283,"Credit Card",No
TR_41000353,OR_31006689,Wallet,No
TR_41000354,OR_31001626,"Credit Card",No
TR_41000355,OR_31001816,"Net Banking",No
TR_41000356,OR_31005780,"Credit Card",Yes
TR_41000357,OR_31004044,"Net Banking",No
TR_41000358,OR_31008212,Wallet,Yes
TR_41000359,OR_31006228,"Credit Card",No
TR_41000360,OR_31005153,"Credit Card",Yes
TR_41000361,OR_31004950,Wallet,No
TR_41000362,OR_31005898,UPI,No
TR_41000363,OR_31004227,UPI,Yes
TR_41000364,OR_31006946,"Debit Card",No
TR_41000365,OR_31006254,UPI,No
TR_41000366,OR_31001711,"Credit Card",Yes
TR_41000367,OR_31000158,"Debit Card",No
TR_41000368,OR_31000345,UPI,No
TR_41000369,OR_31004712,Wallet,No
TR_41000370,OR_31001051,Wallet,No
TR_41000371,OR_31003804,Wallet,No
TR_41000372,OR_31009947,Wallet,Yes
TR_41000373,OR_31007451,"Net Banking",Yes
TR_41000374,OR_31005556,"Credit Card",Yes
TR_41000375,OR_31007004,"Net Banking",Yes
TR_41000376,OR_31009235,"Net Banking",No
TR_41000377,OR_31004813,"Net Banking",No
TR_41000378,OR_31001437,"Credit Card",Yes
TR_41000379,OR_31003113,"Credit Card",Yes
TR_41000380,OR_31009238,"Debit Card",No
TR_41000381,OR_31005138,"Credit Card",No
TR_41000382,OR_31006081,UPI,No
TR_41000383,OR_31002124,"Net Banking",Yes
TR_41000384,OR_31005047,"Net Banking",No
TR_41000385,OR_31003600,"Net Banking",Yes
TR_41000386,OR_31004824,"Net Banking",No
TR_41000387,OR_31006488,Wallet,No
TR_41000388,OR_31003168,"Net Banking",No
TR_41000389,OR_31000959,"Debit Card",Yes
TR_41000390,OR_31004240,Wallet,No
TR_41000391,OR_31005096,"Credit Card",Yes
TR_41000392,OR_31001342,"Credit Card",Yes
TR_41000393,OR_31009828,Wallet,No
TR_41000394,OR_31004410,"Debit Card",No
TR_41000395,OR_31009682,"Credit Card",No
TR_41000396,OR_31009956,UPI,No
TR_41000397,OR_31008809,Wallet,No
TR_41000398,OR_31005075,UPI,No
TR_41000399,OR_31006007,"Credit Card",No
TR_41000400,OR_31003414,Wallet,No
TR_41000401,OR_31009168,UPI,Yes
TR_41000402,OR_31002551,Wallet,No
TR_41000403,OR_31006026,"Net Banking",Yes
TR_41000404,OR_31002205,UPI,No
TR_41000405,OR_31004625,"Debit Card",No
TR_41000406,OR_31003759,UPI,No
TR_41000407,OR_31002136,"Credit Card",No
TR_41000408,OR_31009260,"Net Banking",No
TR_41000409,OR_31008233,"Debit Card",No
TR_41000410,OR_31002266,"Debit Card",No
TR_41000411,OR_31004205,Wallet,Yes
TR_41000412,OR_31002489,"Debit Card",Yes
TR_41000413,OR_31008301,UPI,No
TR_41000414,OR_31005224,"Credit Card",No
TR_41000415,OR_31009532,UPI,Yes
TR_41000416,OR_31004967,UPI,No
TR_41000417,OR_31003348,UPI,Yes
TR_41000418,OR_31005186,"Net Banking",Yes
TR_41000419,OR_31006257,"Net Banking",Yes
TR_41000420,OR_31006007,UPI,No
TR_41000421,OR_31005738,"Credit Card",No
TR_41000422,OR_31007829,"Net Banking",Yes
TR_41000423,OR_31000579,"Net Banking",No
TR_41000424,OR_31002012,UPI,Yes
TR_41000425,OR_31005089,Wallet,Yes
TR_41000426,OR_31002509,"Debit Card",No
TR_41000427,OR_31005976,Wallet,Yes
TR_41000428,OR_31005010,UPI,No
TR_41000429,OR_31005860,"Credit Card",No
TR_41000430,OR_31002699,UPI,No
TR_41000431,OR_31001711,UPI,No
TR_41000432,OR_31008751,"Credit Card",No
TR_41000433,OR_31003962,"Net Banking",Yes
TR_41000434,OR_31003570,"Credit Card",No
TR_41000435,OR_31001807,"Debit Card",Yes
TR_41000436,OR_31000853,UPI,No
TR_41000437,OR_31003996,"Debit Card",Yes
TR_41000438,OR_31002314,"Credit Card",No
TR_41000439,OR_31008776,"Net Banking",No
TR_41000440,OR_31002545,UPI,Yes
TR_41000441,OR_31008366,"Credit Card",Yes
TR_41000442,OR_31008792,"Debit Card",Yes
TR_41000443,OR_31004240,"Net Banking",No
TR_41000444,OR_31002885,"Credit Card",No
TR_41000445,OR_31006257,"Net Banking",No
TR_41000446,OR_31006982,"Debit Card",Yes
TR_41000447,OR_31002915,"Net Banking",No
TR_41000448,OR_31005380,"Net Banking",Yes
TR_41000449,OR_31000701,"Debit Card",Yes
TR_41000450,OR_31000455,"Net Banking",Yes
TR_41000451,OR_31004970,"Credit Card",No
TR_41000452,OR_31007319,Wallet,Yes
TR_41000453,OR_31007194,"Net Banking",No
TR_41000454,OR_31005218,"Debit Card",Yes
TR_41000455,OR_31006441,"Debit Card",No
TR_41000456,OR_31006220,"Credit Card",Yes
TR_41000457,OR_31000023,Wallet,No
TR_41000458,OR_31004636,"Net Banking",Yes
TR_41000459,OR_31002837,UPI,No
TR_41000460,OR_31001238,"Net Banking",Yes
TR_41000461,OR_31004839,"Net Banking",No
TR_41000462,OR_31002439,"Net Banking",No
TR_41000463,OR_31005601,"Net Banking",No
TR_41000464,OR_31005116,Wallet,No
TR_41000465,OR_31003629,"Net Banking",No
TR_41000466,OR_31006432,Wallet,Yes
TR_41000467,OR_31001847,UPI,Yes
TR_41000468,OR_31002601,"Credit Card",No
TR_41000469,OR_31006223,UPI,No
TR_41000470,OR_31003969,"Credit Card",No
TR_41000471,OR_31007328,UPI,No
TR_41000472,OR_31000012,Wallet,No
TR_41000473,OR_31001266,"Debit Card",Yes
TR_41000474,OR_31006938,Wallet,No
TR_41000475,OR_31006009,"Credit Card",No
TR_41000476,OR_31008887,"Net Banking",Yes
TR_41000477,OR_31005414,"Net Banking",Yes
TR_41000478,OR_31008535,"Net Banking",No
TR_41000479,OR_31008480,"Credit Card",No
TR_41000480,OR_31004740,"Debit Card",No
TR_41000481,OR_31008950,Wallet,Yes
TR_41000482,OR_31003605,"Net Banking",Yes
TR_41000483,OR_31003253,"Debit Card",Yes
TR_41000484,OR_31003080,"Credit Card",Yes
TR_41000485,OR_31009515,"Credit Card",No
TR_41000486,OR_31008217,UPI,No
TR_41000487,OR_31007769,UPI,No
TR_41000488,OR_31003036,UPI,No
TR_41000489,OR_31001941,UPI,Yes
TR_41000490,OR_31002194,"Credit Card",Yes
TR_41000491,OR_31009706,"Credit Card",Yes
TR_41000492,OR_31007605,"Credit Card",Yes
TR_41000493,OR_31007242,UPI,No
TR_41000494,OR_31006330,"Net Banking",No
TR_41000495,OR_31007895,"Credit Card",Yes
TR_41000496,OR_31005695,Wallet,No
TR_41000497,OR_31003038,"Credit Card",Yes
TR_41000498,OR_31001487,"Credit Card",Yes
TR_41000499,OR_31005410,"Credit Card",Yes
TR_41000500,OR_31002239,"Debit Card",No
TR_41000501,OR_31005015,"Debit Card",Yes
TR_41000502,OR_31005739,UPI,No
TR_41000503,OR_31000524,"Credit Card",Yes
TR_41000504,OR_31002975,UPI,Yes
TR_41000505,OR_31004920,"Debit Card",Yes
TR_41000506,OR_31007502,Wallet,Yes
TR_41000507,OR_31000595,"Credit Card",Yes
TR_41000508,OR_31004371,UPI,No
TR_41000509,OR_31003840,"Credit Card",Yes
TR_41000510,OR_31009943,UPI,No
TR_41000511,OR_31001360,"Credit Card",Yes
TR_41000512,OR_31004833,UPI,No
TR_41000513,OR_31008098,Wallet,Yes
TR_41000514,OR_31004692,"Credit Card",Yes
TR_41000515,OR_31001546,Wallet,Yes
TR_41000516,OR_31008506,"Net Banking",Yes
TR_41000517,OR_31004522,UPI,No
TR_41000518,OR_31009250,Wallet,Yes
TR_41000519,OR_31006037,Wallet,Yes
TR_41000520,OR_31003037,"Credit Card",No
TR_41000521,OR_31003488,"Net Banking",Yes
TR_41000522,OR_31001408,Wallet,Yes
TR_41000523,OR_31002556,"Credit Card",Yes
TR_41000524,OR_31001323,Wallet,Yes
TR_41000525,OR_31008306,Wallet,Yes
TR_41000526,OR_31002592,Wallet,Yes
TR_41000527,OR_31003329,"Net Banking",No
TR_41000528,OR_31004210,"Net Banking",Yes
TR_41000529,OR_31007028,"Debit Card",No
TR_41000530,OR_31000941,"Net Banking",Yes
TR_41000531,OR_31003097,UPI,No
TR_41000532,OR_31001756,"Debit Card",No
TR_41000533,OR_31004218,"Credit Card",No
TR_41000534,OR_31006131,"Net Banking",Yes
TR_41000535,OR_31005125,UPI,No
TR_41000536,OR_31000773,"Net Banking",No
TR_41000537,OR_31006912,UPI,No
TR_41000538,OR_31006767,UPI,No
TR_41000539,OR_31001654,UPI,No
TR_41000540,OR_31000148,"Net Banking",Yes
TR_41000541,OR_31007538,UPI,No
TR_41000542,OR_31000819,"Debit Card",No
TR_41000543,OR_31008250,Wallet,Yes
TR_41000544,OR_31000218,Wallet,No
TR_41000545,OR_31005767,UPI,No
TR_41000546,OR_31006706,UPI,No
TR_41000547,OR_31004686,"Credit Card",Yes
TR_41000548,OR_31002066,Wallet,No
TR_41000549,OR_31006703,"Net Banking",Yes
TR_41000550,OR_31006597,"Net Banking",No
TR_41000551,OR_31001782,Wallet,No
TR_41000552,OR_31000500,"Credit Card",No
TR_41000553,OR_31005839,"Credit Card",Yes
TR_41000554,OR_31009021,"Debit Card",Yes
TR_41000555,OR_31004319,Wallet,No
TR_41000556,OR_31004645,UPI,Yes
TR_41000557,OR_31001976,"Debit Card",No
TR_41000558,OR_31000717,"Credit Card",Yes
TR_41000559,OR_31005884,"Debit Card",No
TR_41000560,OR_31006752,"Net Banking",No
TR_41000561,OR_31001494,"Debit Card",Yes
TR_41000562,OR_31007713,"Credit Card",No
TR_41000563,OR_31009847,UPI,No
TR_41000564,OR_31005621,UPI,No
TR_41000565,OR_31005647,"Net Banking",No
TR_41000566,OR_31001957,Wallet,No
TR_41000567,OR_31004240,"Credit Card",Yes
TR_41000568,OR_31007746,UPI,No
TR_41000569,OR_31007669,"Net Banking",No
TR_41000570,OR_31009651,Wallet,No
TR_41000571,OR_31007610,"Net Banking",Yes
TR_41000572,OR_31003991,"Debit Card",Yes
TR_41000573,OR_31002229,UPI,Yes
TR_41000574,OR_31002212,"Debit Card",No
TR_41000575,OR_31005452,"Net Banking",Yes
TR_41000576,OR_31002974,"Credit Card",Yes
TR_41000577,OR_31004533,"Credit Card",No
TR_41000578,OR_31001035,Wallet,Yes
TR_41000579,OR_31000521,"Debit Card",Yes
TR_41000580,OR_31007218,Wallet,No
TR_41000581,OR_31007336,Wallet,Yes
TR_41000582,OR_31006930,"Debit Card",No
TR_41000583,OR_31001328,"Net Banking",No
TR_41000584,OR_31003043,UPI,No
TR_41000585,OR_31003847,Wallet,Yes
TR_41000586,OR_31002810,"Net Banking",Yes
TR_41000587,OR_31007708,Wallet,No
TR_41000588,OR_31000568,"Net Banking",No
TR_41000589,OR_31007587,"Credit Card",No
TR_41000590,OR_31005066,"Debit Card",Yes
TR_41000591,OR_31006192,"Net Banking",Yes
TR_41000592,OR_31002444,"Net Banking",Yes
TR_41000593,OR_31006281,"Debit Card",Yes
TR_41000594,OR_31000433,Wallet,No
TR_41000595,OR_31003609,"Debit Card",No
TR_41000596,OR_31000484,Wallet,Yes
TR_41000597,OR_31003375,"Debit Card",Yes
TR_41000598,OR_31003562,Wallet,Yes
TR_41000599,OR_31008756,UPI,Yes
TR_41000600,OR_31008444,Wallet,Yes
TR_41000601,OR_31002576,Wallet,Yes
TR_41000602,OR_31002413,"Debit Card",No
TR_41000603,OR_31004959,"Credit Card",Yes
TR_41000604,OR_31008228,Wallet,No
TR_41000605,OR_31002894,Wallet,Yes
TR_41000606,OR_31005026,Wallet,No
